PassengerId,Age,Fare,FamilySize,Pclass,Sex,Embarked,Title_Name,Survived
693,25.0,56.4958,1,3,male,S,Mr,1
482,30.0,0.0,1,2,male,S,Mr,0
528,40.0,221.7792,1,1,male,S,Mr,0
856,18.0,9.35,2,3,female,S,Mrs,1
802,31.0,26.25,3,2,female,S,Mrs,1
653,21.0,8.4333,1,3,male,S,Mr,0
510,26.0,56.4958,1,3,male,S,Mr,1
558,40.0,227.525,1,1,male,C,Mr,0
829,25.0,7.75,1,3,male,Q,Mr,1
19,31.0,18.0,2,3,female,S,Mrs,0
648,56.0,35.5,1,1,male,C,Others,1
403,21.0,9.825,2,3,female,S,Miss,0
847,25.0,69.55,11,3,male,S,Mr,0
468,56.0,26.55,1,1,male,S,Mr,0
52,21.0,7.8,1,3,male,S,Mr,0
413,33.0,90.0,2,1,female,Q,Miss,1
422,21.0,7.7333,1,3,male,Q,Mr,0
251,25.0,7.25,1,3,male,S,Mr,0
819,43.0,6.45,1,3,male,S,Mr,0
410,21.5,25.4667,5,3,female,S,Miss,0
254,30.0,16.1,2,3,male,S,Mr,0
219,32.0,76.2917,1,1,female,C,Miss,1
257,35.0,79.2,1,1,female,C,Mrs,1
227,19.0,10.5,1,2,male,S,Mr,1
295,24.0,7.8958,1,3,male,S,Mr,0
707,45.0,13.5,1,2,female,S,Mrs,1
754,23.0,7.8958,1,3,male,S,Mr,0
198,42.0,8.4042,2,3,male,S,Mr,0
836,39.0,83.1583,3,1,female,C,Miss,1
221,16.0,8.05,1,3,male,S,Mr,1
740,25.0,7.8958,1,3,male,S,Mr,0
34,66.0,10.5,1,2,male,S,Mr,0
431,28.0,26.55,1,1,male,S,Mr,1
151,51.0,12.525,1,2,male,S,Others,0
587,47.0,15.0,1,2,male,S,Mr,0
205,18.0,8.05,1,3,male,S,Mr,1
345,36.0,13.0,1,2,male,S,Mr,0
748,30.0,13.0,1,2,female,S,Miss,1
324,22.0,29.0,3,2,female,S,Mrs,1
265,21.5,7.75,1,3,female,Q,Miss,0
135,25.0,13.0,1,2,male,S,Mr,0
833,25.0,7.2292,1,3,male,C,Mr,0
191,32.0,13.0,1,2,female,S,Mrs,1
108,25.0,7.775,1,3,male,S,Mr,1
193,19.0,7.8542,2,3,female,S,Miss,1
450,52.0,30.5,1,1,male,S,Others,1
97,71.0,34.6542,1,1,male,C,Mr,0
383,32.0,7.925,1,3,male,S,Mr,0
